battery_charge_amount,battery_current_charge,battery_discharge_amount,battery_soc,grid_co2_per_kWh_current,grid_co2_production,grid_export_price_current,grid_export,grid_export_revenue,grid_import,grid_import_cost,grid_status_current,grid_import_price_current,load_0_load_current,load_0_load_met,pv_curtailment,pv_renewable_current,pv_renewable_used,wallbox_0_car_absorbed_energy,wallbox_0_car_name,wallbox_0_car_soc,wallbox_0_wallbox_consumption,wallbox_1_car_absorbed_energy,wallbox_1_car_name,wallbox_1_car_soc,wallbox_1_wallbox_consumption,wallbox_2_car_absorbed_energy,wallbox_2_car_name,wallbox_2_car_soc,wallbox_2_wallbox_consumption,wallbox_3_car_absorbed_energy,wallbox_3_car_name,wallbox_3_car_soc,wallbox_3_wallbox_consumption,wallbox_4_car_absorbed_energy,wallbox_4_car_name,wallbox_4_car_soc,wallbox_4_wallbox_consumption,balance_overall_provided_to_microgrid,balance_overall_absorbed_from_microgrid,balance_flex_provided_to_microgrid,balance_flex_absorbed_from_microgrid,balance_controllable_provided_to_microgrid,balance_controllable_absorbed_from_microgrid,balance_fixed_provided_to_microgrid,balance_fixed_absorbed_from_microgrid,datetime,simulation_name,simulation_run,role
24600.0,12.0,0.0,0.5,752.0,1175.0,6.0,0.0,0.0,25000.0,55.044,4.0,8.807,-400.0,400.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,,0.0,0.0,0.0,,0,0.0,0.0,,0,0.0,0.0,,0,0.0,25000.0,25000.0,25000.0,0.0,0.0,24600.0,0.0,400.0,2025-11-01T00:00:00Z,November,AdditionalEnvironmentalConditions,additional
24600.0,12.0,0.0,0.566,752.0,1175.0,6.0,0.0,0.0,25000.0,55.044,4.0,8.807,-400.0,400.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,,0.0,0.0,0.0,,0,0.0,0.0,,0,0.0,0.0,,0,0.0,25000.0,25000.0,25000.0,0.0,0.0,24600.0,0.0,400.0,2025-11-01T00:15:00Z,November,AdditionalEnvironmentalConditions,additional
24600.0,12.0,0.0,0.632,752.0,1175.0,6.0,0.0,0.0,25000.0,55.044,4.0,8.807,-400.0,400.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,,0.0,0.0,0.0,,0,0.0,0.0,,0,0.0,0.0,,0,0.0,25000.0,25000.0,25000.0,0.0,0.0,24600.0,0.0,400.0,2025-11-01T00:30:00Z,November,AdditionalEnvironmentalConditions,additional
24600.0,12.0,0.0,0.698,752.0,1175.0,6.0,0.0,0.0,25000.0,55.044,4.0,8.807,-400.0,400.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,,0.0,0.0,0.0,,0,0.0,0.0,,0,0.0,0.0,,0,0.0,25000.0,25000.0,25000.0,0.0,0.0,24600.0,0.0,400.0,2025-11-01T00:45:00Z,November,AdditionalEnvironmentalConditions,additional
0.0,12.0,0.0,0.764,712.0,17.8,6.0,0.0,0.0,400.0,0.886,4.0,8.863,-400.0,400.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,,0.0,0.0,0.0,,0,0.0,0.0,,0,0.0,0.0,,0,0.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,400.0,2025-11-01T01:00:00Z,November,AdditionalEnvironmentalConditions,additional
0.0,12.0,0.0,0.764,712.0,17.8,6.0,0.0,0.0,400.0,0.886,4.0,8.863,-400.0,400.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,,0.0,0.0,0.0,,0,0.0,0.0,,0,0.0,0.0,,0,0.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,400.0,2025-11-01T01:15:00Z,November,AdditionalEnvironmentalConditions,additional
0.0,12.0,0.0,0.764,712.0,17.8,6.0,0.0,0.0,400.0,0.886,4.0,8.863,-400.0,400.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,,0.0,0.0,0.0,,0,0.0,0.0,,0,0.0,0.0,,0,0.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,400.0,2025-11-01T01:30:00Z,November,AdditionalEnvironmentalConditions,additional
0.0,12.0,0.0,0.764,712.0,17.8,6.0,0.0,0.0,400.0,0.886,4.0,8.863,-400.0,400.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,,0.0,0.0,0.0,,0,0.0,0.0,,0,0.0,0.0,,0,0.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,400.0,2025-11-01T01:45:00Z,November,AdditionalEnvironmentalConditions,additional
0.0,12.0,0.0,0.764,616.0,15.4,6.0,0.0,0.0,400.0,0.88,4.0,8.802,-400.0,400.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,,0.0,0.0,0.0,,0,0.0,0.0,,0,0.0,0.0,,0,0.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,400.0,2025-11-01T02:00:00Z,November,AdditionalEnvironmentalConditions,additional
0.0,12.0,0.0,0.764,616.0,15.4,6.0,0.0,0.0,400.0,0.88,4.0,8.802,-400.0,400.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,,0.0,0.0,0.0,,0,0.0,0.0,,0,0.0,0.0,,0,0.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,400.0,2025-11-01T02:15:00Z,November,AdditionalEnvironmentalConditions,additional
